n;r;a;i;timelimit;time;objective
5;25.00;0;0;3600;2.0436347885988653;163.57590714789401
5;25.00;0;1;3600;1.583376282826066;165.72159507131886
5;25.00;0;2;3600;18.87228530831635;99.41763838828334
5;25.00;0;3;3600;1.9243026501499116;78.69501675257561
5;25.00;1;0;3600;1.955243474803865;113.20578295031433
5;25.00;1;1;3600;6.300607374869287;61.93811456967062
5;25.00;1;2;3600;1.8336607902310789;73.05516278880054
5;25.00;1;3;3600;6.355175103060901;96.81082830643476
5;50.00;0;0;3600;1.556464263703674;72.39168349211336
5;50.00;0;1;3600;0.8694318989291787;88.60570095065933
5;50.00;0;2;3600;1.1294003487564623;95.38454697024878
5;50.00;0;3;3600;1.3785694558173418;80.81194718974801
5;50.00;1;0;3600;4.225283215753734;98.25329125722257
5;50.00;1;1;3600;2.242174705956131;74.92752183413006
5;50.00;1;2;3600;0.9405359639786184;83.88163938529758
5;50.00;1;3;3600;2.084120964165777;102.09741833158357
5;100.00;0;0;3600;0.6570281479507685;75.24934205437829
5;100.00;0;1;3600;0.5125304078683257;77.7147745658326
5;100.00;0;2;3600;0.9541645832359791;49.32166933201775
5;100.00;0;3;3600;0.5372927500866354;51.97161311534458
5;100.00;1;0;3600;0.454769688192755;53.79521975248821
5;100.00;1;1;3600;0.7108140201307833;69.9164074275873
5;100.00;1;2;3600;0.9196452461183071;93.12605341754892
5;100.00;1;3;3600;0.6381723801605403;53.78855973891764
5;200.00;0;0;3600;0.38185167917981744;67.13378754385155
5;200.00;0;1;3600;0.4332556049339473;-1.0
5;200.00;0;2;3600;0.45234105503186584;-1.0
5;200.00;0;3;3600;0.4756016028113663;57.018328652640044
5;200.00;1;0;3600;0.3864922160282731;56.35180957493278
5;200.00;1;1;3600;0.448157184291631;-1.0
5;200.00;1;2;3600;0.6086511961184442;67.18791129822884
5;200.00;1;3;3600;0.41498607536777854;-1.0
10;25.00;0;0;3600;3601.7366264211014;360.4870150999791
10;25.00;0;1;3600;3601.64894822333;337.7156414631408
10;25.00;0;2;3600;3601.68918210594;226.75844450458698
10;25.00;0;3;3600;3601.646260023117;300.0754872848874
10;25.00;1;0;3600;525.623759706039;345.71306266471197
10;25.00;1;1;3600;3228.461999111343;394.69255488888894
10;25.00;1;2;3600;3603.138563739136;399.05999421109783
10;25.00;1;3;3600;3601.456206712872;378.152425133208
10;50.00;0;0;3600;3601.395151385106;193.56829739951775
10;50.00;0;1;3600;3601.3850842528045;221.17564433923738
10;50.00;0;2;3600;1131.580384196248;254.38260492451815
10;50.00;0;3;3600;3601.465718658641;191.05069964042818
10;50.00;1;0;3600;3601.714878515806;162.90385146365554
10;50.00;1;1;3600;3601.582098591607;172.04378201024593
10;50.00;1;2;3600;3602.2914023310877;194.5614590034194
10;50.00;1;3;3600;3601.5999800446443;289.8018474616277
10;100.00;0;0;3600;29.481652362272143;155.14992642732156
10;100.00;0;1;3600;3601.6837292038836;139.62351386910547
10;100.00;0;2;3600;3601.7628952031955;203.37366203277963
10;100.00;0;3;3600;3601.7427597241476;171.55324069279186
10;100.00;1;0;3600;3601.4963808399625;205.44165577910536
10;100.00;1;1;3600;3601.7479859571904;171.42153068721075
10;100.00;1;2;3600;3601.754956105724;143.82816844179098
10;100.00;1;3;3600;3601.570325935725;148.32390055254754
10;200.00;0;0;3600;181.09546338766813;125.38236336087793
10;200.00;0;1;3600;4.578900029417127;138.3181533505343
10;200.00;0;2;3600;33.38829824887216;107.74361144359416
10;200.00;0;3;3600;4.421575104817748;100.16459275072165
10;200.00;1;0;3600;18.546973873395473;158.67903847122466
10;200.00;1;1;3600;13.377901059109718;135.62276136300164
10;200.00;1;2;3600;7.003914250060916;108.7182710394936
10;200.00;1;3;3600;3601.961878581904;101.19231994354092
15;25.00;0;0;3600;3604.300652860664;897.5450414814444
15;25.00;0;1;3600;3604.2596622188576;-1.0
15;25.00;0;2;3600;3604.271923650056;790.288692041712
15;25.00;0;3;3600;3604.4431457431056;825.8117072253413
15;25.00;1;0;3600;3605.425521106925;770.2163394796496
15;25.00;1;1;3600;3608.275040446315;898.9459590293375
15;25.00;1;2;3600;3605.6913184248842;-1.0
15;25.00;1;3;3600;3604.2376296203583;572.2212973615998
15;50.00;0;0;3600;3604.969362898264;-1.0
15;50.00;0;1;3600;3605.1085531632416;311.46139384640685
15;50.00;0;2;3600;3605.728141534142;358.2621871004283
15;50.00;0;3;3600;3605.8974079410546;-1.0
15;50.00;1;0;3600;3605.336646908894;325.21795501745976
15;50.00;1;1;3600;3605.7104735742323;492.3182241541704
15;50.00;1;2;3600;3605.4248095811345;-1.0
15;50.00;1;3;3600;3605.469397380948;349.15078912148084
15;100.00;0;0;3600;3605.4915326982737;246.0318877231743
15;100.00;0;1;3600;3606.301744874101;337.5437424913107
15;100.00;0;2;3600;3604.8497089231387;321.5247126918339
15;100.00;0;3;3600;3605.207488011569;289.10125165296347
15;100.00;1;0;3600;3604.319906265009;291.053615217117
15;100.00;1;1;3600;3607.3642219379544;345.5603239439737
15;100.00;1;2;3600;3604.306965475902;230.70663588148648
15;100.00;1;3;3600;3605.76930019306;265.07541679108596
15;200.00;0;0;3600;3605.1936046257615;190.75784341413652
15;200.00;0;1;3600;3605.4919780781493;261.7988195197878
15;200.00;0;2;3600;3605.391004487872;144.70970137911817
15;200.00;0;3;3600;1496.1916648158804;237.71380229983416
15;200.00;1;0;3600;3605.5233789621852;179.8634140133051
15;200.00;1;1;3600;3610.403597705066;198.07557182007065
15;200.00;1;2;3600;3605.028956697788;160.21116840365204
15;200.00;1;3;3600;3605.4831559471786;244.3825928524388
